CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE475,30167.0,encontrada,134.0167,21,BR-226;OSM-tertiary;Rua F;Rua C;Estrada Monte Sinai a Tranqueiras;BR-404;CE-187;BR-404/CE-187;OSM-primary_link;Rua Humberto de Campos;Rua Doutor Júlio Lima;Rua Renato Braga;Rua Gustavo Barroso;Rua Oswaldo Cruz;Rua Antônio Sales,grafo_desconexo,0.0,0,
OAE476,30168.0,encontrada,131.0071,13,BR-404;CE-189;BR-403;CE-187;OSM-primary_link;Rua Higino Gonçalves Rosa;OSM-secondary;Rua Cornelio Rosa;Rua Francisco Lopes;OSM-tertiary;Rua Raimundo Evaristo;Rua João Luciano;Rua Franklin José Vieira,grafo_desconexo,0.0,0,
OAE477,30169.0,encontrada,131.0236,13,BR-404;CE-189;Rua Franklin José Vieira;Rua João Luciano;Rua Raimundo Evaristo;OSM-tertiary;Rua Francisco Lopes;Rua Cornelio Rosa;OSM-secondary;Rua Higino Gonçalves Rosa;BR-403;CE-187;OSM-primary_link,grafo_desconexo,0.0,0,
OAE478,30170.0,encontrada,162.5513,15,BR-226;OSM-tertiary;Rua F;Rua C;Estrada Monte Sinai a Tranqueiras;BR-404;CE-187;CE-457;CE-176;Rua Alexandre Bonfim,grafo_desconexo,0.0,0,
OAE479,30171.0,encontrada,75.8609,5,BR-403;CE-183;BR-222;CE-321;CE-253,encontrada,75.8609,5,BR-403;CE-183;BR-222;CE-321;CE-253
OAE480,30172.0,encontrada,130.9859,13,BR-404;CE-189;Rua Franklin José Vieira;Rua João Luciano;Rua Raimundo Evaristo;OSM-tertiary;Rua Francisco Lopes;Rua Cornelio Rosa;OSM-secondary;Rua Higino Gonçalves Rosa;BR-403;CE-187;OSM-primary_link,grafo_desconexo,0.0,0,
OAE481,30173.0,encontrada,162.4876,15,BR-226;OSM-tertiary;Rua F;Rua C;Estrada Monte Sinai a Tranqueiras;BR-404;CE-187;CE-457;CE-176;Rua Alexandre Bonfim,grafo_desconexo,0.0,0,
OAE482,30174.0,encontrada,211.8172,15,BR-226;CE-176;OSM-secondary;Rua Manuel Ferreira de Melo;OSM-tertiary;CE-266;Estrada Para Curatis;CE-467;BR-020;Rodovia Presidente Juscelino Kubitschek,grafo_desconexo,0.0,0,
OAE483,30175.0,encontrada,41.8618,7,BR-222;BR-403;Avenida Senador José Ermírio de Moraes;CE-417;CE-183;BR-222;BR-403;CE-183,encontrada,41.8618,7,BR-222;BR-403;Avenida Senador José Ermírio de Moraes;CE-417;CE-183;BR-222;BR-403;CE-183
OAE484,30176.0,encontrada,8.9847,11,BR-222;BR-403;Avenida Senador José Ermírio de Moraes;Rua Tabelião Ildefonso Cavalcante;Rua Coronel José Inácio;Avenida Dom José Tupinambá da Frota;Rua Coronel José Sabóia;Avenida Monsenhor Aloísio Pinto;Rua José Lopes Ponte;Avenida Manoel Machado de Araújo;Rua Paralela a BR-222,encontrada,8.9847,11,BR-222;BR-403;Avenida Senador José Ermírio de Moraes;Rua Tabelião Ildefonso Cavalcante;Rua Coronel José Inácio;Avenida Dom José Tupinambá da Frota;Rua Coronel José Sabóia;Avenida Monsenhor Aloísio Pinto;Rua José Lopes Ponte;Avenida Manoel Machado de Araújo;Rua Paralela a BR-222
